states,districts,delta_confirmed,delta_deceased,delta_recovered,delta_tested,delta_vaccinated1,delta_vaccinated2,delta_population,delta21_14_confirmed,delta21_14_deceased,delta21_14_recovered,delta21_14_tested,delta21_14_vaccinated1,delta21_14_vaccinated2,delta21_14_population,delta7_confirmed,delta7_deceased,delta7_recovered,delta7_tested,delta7_vaccinated1,delta7_vaccinated2,delta7_population,meta_confirmed,meta_deceased,meta_recovered,meta_tested,meta_vaccinated1,meta_vaccinated2,meta_population,total_confirmed,total_deceased,total_recovered,total_tested,total_vaccinated1,total_vaccinated2,total_population,,,,,,,,,
MH,Nagpur,4,,5,,3039,3360,4,20,,,,,,20,35,,43,,58567,71818,35,,,,18-10-2020,,,4653171,493607,9128,484334,382083,3006439,1460890,59,,,,,,,,,
MH,Wardha,2,,2,,18,65,2,4,,,,,,4,5,,4,,16481,14040,5,,,,31-10-2020,,,1296157,57344,1217,55956,52365,755863,314899,11,,,,,,,,,
MH,Nanded,2,,3,,8820,2618,2,15,,,,,,15,28,,22,,144423,41697,28,,,,11/03/2020,,,3356566,90409,2658,87721,117319,1560558,560812,45,,,,,,,,,
MH,Thane,153,6,525,,3664,5578,153,1629,,,,,,1629,1241,44,3002,,108643,120708,1241,,,,11/04/2020,,,11060148,610128,11462,597141,1229625,5484839,2751182,3023,,,,,,,,,
MH,Nandurbar,,,,,738,178,,,,,,,,,2,,1,,19572,12517,2,,,,12/12/2020,,,1646177,40006,948,39054,37740,723850,342054,2,,,,,,,,,
MH,Osmanabad,16,,3,,5549,1039,16,197,,,,,,197,89,1,154,,44954,11658,89,,,,01/07/2021,,,1660311,67828,1963,65577,109450,803192,308210,302,,,,,,,,,
MH,Pune,245,,300,,2900,4885,245,2964,,,,,,2964,1536,20,5294,,85256,136336,1536,,,,01/12/2021,,,9426959,1154776,19594,1131401,97127,7843130,4264808,4745,,,,,,,,,
MH,Raigad,26,,34,,326,1214,26,594,,,,,,594,267,10,359,,21737,31684,267,,,,28-01-2021,,,2635394,195958,4551,190759,304088,1859507,774913,887,,,,,,,,,
MH,Gondia,,,,,32,45,,,,,,,,,2,,3,,8593,23092,2,,,,29-01-2021,,,1322331,40519,569,39941,130146,888961,469980,2,,,,,,,,,
MH,Mumbai,308,3,429,,2725,2540,308,3019,,,,,,3019,2242,34,2604,,98915,219736,2242,,,,29-01-2021,,,12442373,756749,16247,733318,2789713,9115615,5564204,5569,,,,,,,,,
MH,Yavatmal,2,,1,,2588,697,2,2,,,,,,2,6,,7,,56233,26091,6,,,,29-01-2021,,,2775457,75967,1798,74159,141551,1211321,496306,10,,,,,,,,,
MH,Buldhana,3,,1,,402,153,3,15,,,,,,15,16,1,16,,34272,24089,16,,,,30-01-2021,,,2588039,85520,797,84710,115874,1136679,512944,34,,,,,,,,,
MH,Chandrapur,2,,,,54,24,2,14,,,,,,14,7,,,,22248,18994,7,,,,30-01-2021,,,2194262,88968,1560,87387,199809,1335017,458690,23,,,,,,,,,
MH,Jalgaon,,,2,,6,19,,11,,,,,,11,4,,11,,37870,21599,4,,,,30-01-2021,,,4224442,139934,2714,137178,429198,2085101,699544,15,,,,,,,,,
MH,Jalna,,,,,121,16,,44,,,,,,44,15,,47,,112537,35713,15,,,,30-01-2021,,,1958483,60615,1209,59382,117047,1081253,413822,59,,,,,,,,,
MH,Nashik,60,3,32,,2116,473,60,585,,,,,,585,456,12,519,,143768,58112,456,,,,30-01-2021,,,6109052,410681,8679,401418,498397,3471046,1299122,1101,,,,,,,,,
MH,Palghar,28,,6,,863,1749,28,310,,,,,,310,204,,326,,32112,39231,204,,,,30-01-2021,,,2990116,138013,3282,134309,319724,1869199,678741,542,,,,,,,,,
MH,Parbhani,,,1,,4016,1361,,12,,,,,,12,13,1,9,,44477,20480,13,,,,30-01-2021,,,1835982,52362,1233,51078,110937,905874,378183,25,,,,,,,,,
MH,Satara,35,1,4,,225,298,35,508,,,,,,508,157,17,501,,16690,30950,157,,,,30-01-2021,,,3003922,250414,6428,243482,312742,1963730,865197,700,,,,,,,,,
MH,Solapur,51,4,7,,5956,1381,51,519,,,,,,519,253,11,370,,77398,34204,253,,,,30-01-2021,,,4315527,210466,5551,204364,629266,2242339,690069,823,,,,,,,,,
MH,Akola,,,1,,576,200,,7,,,,,,7,3,,7,,26579,10081,3,,,,02/02/2021,,,1818617,58764,1425,57318,,760099,357931,10,,,,,,,,,
MH,Amravati,1,,,,112,66,1,2,,,,,,2,3,,,,29961,21747,3,,,,05/02/2021,,,2887826,96231,1594,94618,,1241168,548807,6,,,,,,,,,
MH,Kolhapur,12,,5,,152,337,12,74,,,,,,74,55,2,115,,19104,23088,55,,,,08/02/2021,,,3874015,206671,5847,200699,,2536731,1043329,141,,,,,,,,,
MH,Latur,5,1,,,4676,1424,5,47,,,,,,47,39,3,,,82644,33519,39,,,,11/02/2021,,,2455543,92133,2437,89608,,1182476,507616,91,,,,,,,,,
MH,Other State,,,,,,,,,,,,,,,,,,,,,,,,,14/02/2021,,,,144,111,31,,,,0,,,,,,,,,
MH,Ratnagiri,8,,14,,83,224,8,192,,,,,,192,91,4,160,,10880,7924,91,,,,17/02/2021,,,1612672,78950,2478,76292,,920151,388703,291,,,,,,,,,
MH,Sangli,19,,,,128,120,19,380,,,,,,380,155,4,375,,11974,19041,155,,,,20/02/2021,,,2820575,209771,5613,203673,,1810980,802877,554,,,,,,,,,
MH,Sindhudurg,12,,6,,-1,1,12,258,,,,,,258,91,4,259,,3915,5195,91,,,,23/02/2021,,,848868,52783,1434,50987,,524896,279051,361,,,,,,,,,
MH,Washim,1,,,,1016,516,1,5,,,,,,5,4,,5,,30932,19238,4,,,,26/02/2021,,,1196714,41663,637,41020,,579042,321710,10,,,,,,,,,
ML,East Garo Hills,,,1,,,,,1,,,,,,1,5,,2,,482,1424,5,,,,31-12-2020,,,317618,1867,13,1844,,47655,20648,6,,,,,,,,,
ML,East Jaintia Hills,,,,,,,,8,,,,,,8,2,,3,,483,2964,2,,,,03/01/2021,,,122436,2430,31,2395,,64432,33259,10,,,,,,,,,
ML,East Khasi Hills,14,1,18,,,17,14,348,,,,,,348,171,2,286,,1847,10698,171,,,,06/01/2021,,,824059,41025,987,39754,,318381,225526,533,,,,,,,,,
ML,North Garo Hills,1,,,,,,1,1,,,,,,1,3,,2,,596,3614,3,,,,09/01/2021,,,118325,1685,8,1674,,62675,28288,5,,,,,,,,,
ML,Ribhoi,1,,3,,15,65,1,20,,,,,,20,14,,23,,884,3492,14,,,,12/01/2021,,,258380,9697,89,9584,,92049,48460,35,,,,,,,,,
ML,South Garo Hills,,,,,13,67,,1,,,,,,1,,,1,,329,1346,,,,,15/01/2021,,,142574,1216,12,1203,,40103,18937,1,,,,,,,,,
ML,South West Garo Hills,,,1,,,,,2,,,,,,2,3,,3,,924,4509,3,,,,18/01/2021,,,172495,1872,17,1852,,73397,39210,5,,,,,,,,,
ML,South West Khasi Hills,,,,,,,,5,,,,,,5,6,,1,,61,552,6,,,,21/01/2021,,,110152,2548,17,2525,,33372,17117,11,,,,,,,,,
ML,West Garo Hills,3,,1,,7,32,3,13,,,,,,13,8,,11,,1409,8093,8,,,,24/01/2021,,,642923,9027,72,8943,,209662,119725,24,,,,,,,,,
ML,West Jaintia Hills,1,,,,,,1,13,,,,,,13,11,2,31,,411,3480,11,,,,27/01/2021,,,270352,6803,133,6642,,84529,47646,25,,,,,,,,,
ML,West Khasi Hills,2,,27,,1,20,2,118,,,,,,118,33,,97,,443,1763,33,,,,30/01/2021,,,385601,5457,71,5330,,77018,43000,153,,,,,,,,,
MN,Churachandpur,,,,,27,370,,,,,,,,,,,,,345,3560,,,,,23-09-2020,,,271274,,,,13542,104247,62208,0,,,,,,,,,
MN,Bishnupur,,,,,,,,,,,,,,,,,,,685,8679,,,,,28-09-2020,,,240363,,,,,128902,64791,0,,,,,,,,,
MN,Chandel,,,,,5,134,,,,,,,,,,,,,98,1337,,,,,03-10-2020,,,144028,,,,,26634,15197,0,,,,,,,,,
MN,Imphal East,,,,,183,1268,,,,,,,,,,,,,2402,19169,,,,,08-10-2020,,,452661,,,,,251626,148953,0,,,,,,,,,
MN,Imphal West,,,,,74,841,,,,,,,,,,,,,1861,17353,,,,,13-10-2020,,,514683,,,,,308782,199404,0,,,,,,,,,
MN,Jiribam,,,,,,,,,,,,,,,,,,,70,1927,,,,,18-10-2020,,,43818,,,,,27911,17262,0,,,,,,,,,
MN,Kakching,,,,,,,,,,,,,,,,,,,214,2450,,,,,23-10-2020,,,135481,,,,,84702,49653,0,,,,,,,,,
MN,Kamjong,,,,,75,371,,,,,,,,,,,,,129,736,,,,,28-10-2020,,,45616,,,,,10502,5370,0,,,,,,,,,
MN,Kangpokpi,,,,,73,26,,,,,,,,,,,,,291,1472,,,,,02-11-2020,,,,,,,,39027,19015,0,,,,,,,,,
MN,Noney,,,,,29,388,,,,,,,,,,,,,98,1211,,,,,07-11-2020,,,,,,,,16798,9819,0,,,,,,,,,
MN,Pherzawl,,,,,,52,,,,,,,,,,,,,55,711,,,,,12-11-2020,,,47250,,,,,12417,9888,0,,,,,,,,,
MN,Senapati,,,,,105,291,,,,,,,,,,,,,425,1940,,,,,17-11-2020,,,354772,,,,,28247,18288,0,,,,,,,,,
MN,Tamenglong,,,,,53,76,,,,,,,,,,,,,174,1204,,,,,22-11-2020,,,140143,,,,,19931,10361,0,,,,,,,,,
MN,Tengnoupal,,,,,14,183,,,,,,,,,,,,,93,1176,,,,,27-11-2020,,,,,,,,26209,12163,0,,,,,,,,,
MN,Thoubal,,,,,1,22,,,,,,,,,,,,,378,6574,,,,,02-12-2020,,,420517,,,,,141308,62279,0,,,,,,,,,
MN,Ukhrul,,,,,66,258,,,,,,,,,,,,,362,1775,,,,,07-12-2020,,,183115,,,,,22193,14759,0,,,,,,,,,
MN,Unknown,63,1,62,,,,63,734,,,,,,734,439,10,652,,,,439,,,,12-12-2020,,,,123731,1921,121102,,,,1236,,,,,,,,,
MP,Dindori,,,,,4,96,,,,,,,,,,,,,1342,21481,,,,,07/08/2020,,,704218,4623,29,4588,3557,481366,186341,0,,,,,,,,,
MP,Sidhi,,,,,58,512,,,,,,,,,,,,,1867,19145,,,,,26-07-2020,,,1126515,9219,87,9132,4660,679862,226632,0,,,,,,,,,
MP,Burhanpur,,,,,49,138,,,,,,,,,,,,,762,6561,,,,,18-08-2020,,,756993,2568,39,2529,13040,493618,220909,0,,,,,,,,,
MP,Rewa,,,,,85,1574,,,,,,,,,,,,,6664,104963,,,,,18-08-2020,,,2363744,16433,155,16270,22690,1639826,674779,0,,,,,,,,,
MP,Balaghat,2,,,,25,342,2,,,,,,,,2,,,,15838,71692,2,,,,19-08-2020,,,1701156,9100,64,9017,9654,1278183,549643,4,,,,,,,,,
MP,Khandwa,,,,,,,,,,,,,,,,,,,880,13668,,,,,24-08-2020,,,1309443,4044,94,3946,17090,862885,310248,0,,,,,,,,,
MP,Anuppur,,,,,73,1328,,,,,,,,,,,,,995,18360,,,,,19-09-2020,,,749521,9238,89,9140,3424,481238,164712,0,,,,,,,,,
MP,Bhopal,2,,,,66,646,2,27,,,,,,27,38,,,,4130,38750,38,,,,19-09-2020,,,2368145,123552,972,122121,245166,2012966,1168682,67,,,,,,,,,
MP,Damoh,,,,,39,982,,,,,,,,,,,,,4298,52314,,,,,19-09-2020,,,1263703,8120,186,7841,16564,844557,326505,0,,,,,,,,,
MP,Khargone,,,,,922,5304,,,,,,,,,,,,,3049,32932,,,,,19-09-2020,,,1872413,13970,239,13716,38413,1147444,411114,0,,,,,,,,,
MP,Sagar,2,,,,23,343,2,6,,,,,,6,2,,,,6321,60800,2,,,,19-09-2020,,,2378295,16622,390,16154,64801,1563245,760746,10,,,,,,,,,
MP,Satna,,,,,37,303,,,,,,,,,,,,,3426,40519,,,,,19-09-2020,,,2228619,11965,133,11829,28159,1532585,481540,0,,,,,,,,,
MP,Seoni,,,,,15,402,,,,,,,,,,,,,2162,38081,,,,,19-09-2020,,,1378876,6775,28,6739,15024,945564,341871,0,,,,,,,,,
MP,Shahdol,,,,,20,426,,,,,,,,,,,,,857,22928,,,,,19-09-2020,,,1064989,10085,118,9958,18177,723227,337272,0,,,,,,,,,
MP,Ujjain,,,,,27,1323,,1,,,,,,1,1,,,,4210,65566,1,,,,19-09-2020,,,1986864,18903,172,18720,31631,1452247,836514,2,,,,,,,,,
MP,Bhind,,,,,29,1176,,1,,,,,,1,,,,,1525,30042,,,,,16-11-2020,,,1703562,2995,32,2960,44395,1034374,351065,1,,,,,,,,,
MP,Barwani,,,,,76,542,,,,,,,,,,,,,1615,16619,,,,,19-11-2020,,,1385659,8366,90,8267,41588,788872,225336,0,,,,,,,,,
MP,Shivpuri,,,,,883,13988,,,,,,,,,,,,,3082,38901,,,,,19-11-2020,,,1725818,12398,125,12261,47270,1109976,391707,0,,,,,,,,,
MP,Umaria,,,,,9,93,,,,,,,,,,,,,955,28084,,,,,19-11-2020,,,643579,6294,63,6224,54811,455492,196492,0,,,,,,,,,
MP,Niwari,,,,,,,,,,,,,,,,,,,,,,,,,29-11-2020,,,,3715,48,3654,22574,,,0,,,,,,,,,
MP,Raisen,,,,,39,222,,,,,,,,,,,,,1644,22044,,,,,29-11-2020,,,1331699,9238,194,9030,44343,885585,333022,0,,,,,,,,,
MP,Ratlam,,,,,14,251,,,,,,,,,,,,,1894,51080,,,,,29-11-2020,,,1454483,17860,385,17438,51736,1026416,457972,0,,,,,,,,,
MP,Sehore,,,,,5,256,,,,,,,,,,,,,2325,32101,,,,,29-11-2020,,,1311008,10136,73,10057,45061,909045,396375,0,,,,,,,,,
MP,Sheopur,,,,,236,1788,,,,,,,,,,,,,1338,16952,,,,,29-11-2020,,,687952,4000,78,3919,31449,413195,140296,0,,,,,,,,,
MP,Tikamgarh,,,,,60,297,,,,,,,,,,,,,3331,24497,,,,,29-11-2020,,,1444920,6863,114,6742,43011,919592,293885,0,,,,,,,,,
MP,Dhar,1,,,,39,306,1,6,,,,,,6,7,,,,5034,83699,7,,,,12/02/2020,,,2184672,12572,130,12388,62597,1371226,536214,14,,,,,,,,,
MP,Harda,,,,,14,210,,,,,,,,,,,,,1075,24810,,,,,12/02/2020,,,570302,5055,96,4954,36708,394641,159293,0,,,,,,,,,
MP,Datia,,,,,521,10316,,,,,,,,,,,,,1963,45226,,,,,12/04/2020,,,786375,6959,78,6874,40322,560238,296233,0,,,,,,,,,
MP,Guna,,,,,630,5023,,,,,,,,,,,,,3347,32837,,,,,12/04/2020,,,1240938,5132,44,5085,40229,821399,284155,0,,,,,,,,,
MP,Gwalior,,,,,531,1715,,,,,,,,,2,,,,8800,41193,2,,,,12/04/2020,,,2030543,53106,633,52427,206696,1452149,730150,2,,,,,,,,,
MP,Hoshangabad,,,,,10,206,,,,,,,,,,,,,1498,39507,,,,,12/04/2020,,,1240975,10688,99,10570,46294,865566,369945,0,,,,,,,,,
MP,Jhabua,,,,,50,222,,1,,,,,,1,1,,,,3578,21040,1,,,,12/04/2020,,,1024091,7691,64,7619,52146,607542,185320,2,,,,,,,,,
MP,Mandsaur,,,,,4,130,,,,,,,,,,,,,2058,37337,,,,,12/04/2020,,,1339832,8637,84,8552,52733,948065,330902,0,,,,,,,,,
MP,Neemuch,,,,,16,359,,,,,,,,,,,,,970,17955,,,,,12/04/2020,,,825958,7926,84,7828,57292,579489,229183,0,,,,,,,,,
MP,Rajgarh,1,,,,10,144,1,7,,,,,,7,1,,,,2483,41531,1,,,,12/04/2020,,,1546541,8729,172,8490,46604,1025584,450099,9,,,,,,,,,
MP,Vidisha,,,,,11,253,,1,,,,,,1,,,,,1222,26130,,,,,12/04/2020,,,1458212,11922,237,11677,65935,975291,349024,1,,,,,,,,,
MP,Chhatarpur,,,,,56,1310,,1,,,,,,1,,,,,3103,27937,,,,,12/09/2020,,,1762857,7609,91,7506,50518,1093616,336309,1,,,,,,,,,
MP,Katni,,,,,57,879,,,,,,,,,,,,,2926,42360,,,,,18-12-2020,,,1291684,9366,120,9242,56828,865274,306259,0,,,,,,,,,
MP,Narsinghpur,,,,,10,224,,1,,,,,,1,5,,,,1266,34365,5,,,,30-01-2021,,,1092141,11209,81,11115,90600,803225,318284,6,,,,,,,,,
MP,Ashoknagar,,,,,10,131,,,,,,,,,,,,,1258,17334,,,,,31-01-2021,,,844979,3670,57,3613,55792,550087,186066,0,,,,,,,,,
MP,Betul,,,,,22,547,,1,,,,,,1,1,,,,2361,31953,1,,,,31-01-2021,,,1575247,12905,277,12590,68036,1042931,343674,2,,,,,,,,,
MP,Chhindwara,,,,,18,261,,,,,,,,,2,,,,4654,93453,2,,,,31-01-2021,,,2090306,6734,120,6612,79090,1624355,591843,2,,,,,,,,,
MP,Dewas,,,,,11,386,,,,,,,,,,,,,1804,22992,,,,,31-01-2021,,,1563107,7723,51,7672,96155,1005266,477219,0,,,,,,,,,
MP,Indore,8,,,,76,894,8,8,,,,,,8,39,,,,4233,45203,39,,,,31-01-2021,,,3272335,153230,1391,151410,780266,2951024,1728945,55,,,,,,,,,
MP,Jabalpur,,,,,726,19681,,2,,,,,,2,3,,,,5968,156306,3,,,,02/01/2021,,,2460714,50779,670,49896,293923,1957070,1099359,5,,,,,,,,,
MP,Morena,,,,,50,1667,,,,,,,,,,,,,2814,112629,,,,,02/01/2021,,,1965137,8236,95,8135,90967,1295658,582833,0,,,,,,,,,
MP,Shajapur,,,,,43,851,,,,,,,,,,,,,1971,51596,,,,,02/01/2021,,,1512353,6349,74,6273,56805,620316,278912,0,,,,,,,,,
MP,Agar Malwa,,,,,12,107,,,,,,,,,,,,,965,16911,,,,,02/01/2021,,,,3303,68,3235,,424846,128822,0,,,,,,,,,
MP,Alirajpur,,,,,10,40,,,,,,,,,,,,,921,8076,,,,,02/01/2021,,,728677,3505,48,3453,,369571,114601,0,,,,,,,,,
MP,Mandla,,,,,6,72,,,,,,,,,,,,,2286,53670,,,,,02/01/2021,,,1053522,5188,25,5159,,684882,246724,0,,,,,,,,,
MP,Panna,,,,,144,985,,,,,,,,,,,,,2633,18657,,,,,02/01/2021,,,1016028,7331,63,7250,,600823,168120,0,,,,,,,,,
MP,Raigarh,,,,,,,,,,,,,,,,,,,,,,,,,02/01/2021,,,,1,,,,,,0,,,,,,,,,
MP,Singrauli,,,,,43,305,,,,,,,,,1,,,,3052,21200,1,,,,02/01/2021,,,1178132,8801,82,8706,,740335,224966,1,,,,,,,,,
MP,Unknown,,,8,,,,,,,,,,,,,1,74,,,,,,,,,,,,1416,1493,1632,,,,0,,,,,,,,,
MZ,Aizawl,361,1,365,,,,361,3869,,,,,,3869,1996,6,3014,,443,3740,1996,,,,27/11/2020,,,404054,75111,300,71337,,315706,239593,6226,,,,,,,,,
MZ,Champhai,33,,40,,,,33,407,,,,,,407,299,3,319,,344,572,299,,,,01/12/2020,,,125370,5188,11,4745,,74122,55251,739,,,,,,,,,
MZ,Hnahthial,1,,29,,,,1,136,,,,,,136,143,,185,,,,143,,,,05/12/2020,,,,1020,3,857,,,,280,,,,,,,,,
MZ,Khawzawl,2,,,,,,2,33,,,,,,33,42,,26,,,,42,,,,09/12/2020,,,,733,,688,,,,77,,,,,,,,,
MZ,Kolasib,10,,2,,,,10,165,,,,,,165,94,,154,,153,738,94,,,,13/12/2020,,,83054,7721,30,7561,,50525,33101,269,,,,,,,,,
MZ,Lawngtlai,14,,13,,129,,14,274,,,,,,274,98,1,245,,2765,1838,98,,,,17/12/2020,,,117444,6740,23,6553,,55877,25870,386,,,,,,,,,
MZ,Lunglei,71,,36,,,,71,642,,,,,,642,662,1,507,,263,1493,662,,,,21/12/2020,,,154094,9842,27,9053,,95129,73298,1375,,,,,,,,,
MZ,Mamit,19,,,,,,19,308,,,,,,308,241,5,265,,228,1322,241,,,,25/12/2020,,,85757,4854,12,4448,,43678,28873,568,,,,,,,,,
MZ,Saiha,,1,37,,,39,,420,,,,,,420,107,5,345,,68,1116,107,,,,29/12/2020,,,56366,5469,14,5304,,34626,19984,527,,,,,,,,,
MZ,Saitual,3,,21,,,,3,28,,,,,,28,30,,53,,,,30,,,,02/01/2021,,,,471,2,420,,,,61,,,,,,,,,
MZ,Serchhip,65,,67,,,,65,488,,,,,,488,386,,572,,36,431,386,,,,06/01/2021,,,64875,4210,10,3646,,41932,36047,939,,,,,,,,,
NL,Dimapur,3,1,13,,-1,2,3,74,,,,,,74,68,2,73,,2827,12731,68,,,,12/11/2020,,,379769,14684,421,13471,47020,268405,175502,145,,,,,,,,,
NL,Kiphire,,,,,61,124,,,,,,,,,2,,1,,116,357,2,,,,12/11/2020,,,74033,258,9,246,1002,13017,8141,2,,,,,,,,,
NL,Kohima,4,,,,,,4,33,,,,,,33,23,,24,,509,3038,23,,,,12/11/2020,,,270063,9461,123,9095,33986,105758,82602,60,,,,,,,,,
NL,Longleng,,,,,,,,8,,,,,,8,,,7,,26,181,,,,,12/11/2020,,,50593,307,2,286,1193,20577,15446,8,,,,,,,,,
NL,Mokokchung,3,,2,,,,3,7,,,,,,7,23,2,5,,146,2026,23,,,,12/11/2020,,,193171,2333,54,2186,3976,69198,54730,33,,,,,,,,,
NL,Mon,,,,,20,28,,,,,,,,,1,,,,243,1864,1,,,,12/11/2020,,,259604,1159,14,1124,12278,70054,48331,1,,,,,,,,,
NL,Peren,,,,,1,29,,5,,,,,,5,1,,1,,189,613,1,,,,12/11/2020,,,163294,920,6,897,5717,19956,12514,6,,,,,,,,,
NL,Phek,,,,,21,168,,5,,,,,,5,4,,1,,99,496,4,,,,12/11/2020,,,163294,601,18,568,2779,31241,20746,9,,,,,,,,,
NL,Tuensang,1,,6,,41,122,1,28,,,,,,28,2,1,28,,106,525,2,,,,12/11/2020,,,414801,1094,12,1077,4887,38130,26725,31,,,,,,,,,
NL,Wokha,,,,,11,232,,2,,,,,,2,6,,4,,122,1074,6,,,,12/11/2020,,,166239,402,11,361,1390,35138,23577,8,,,,,,,,,
NL,Zunheboto,,,,,36,106,,,,,,,,,,1,,,331,807,,,,,12/11/2020,,,141014,623,15,593,2131,38077,22337,0,,,,,,,,,
OR,Balasore,5,,14,,929,519,5,94,,,,,,94,67,1,80,,78274,35314,67,,,,17-05-2020,,,2317419,40787,299,40389,9843,1351099,534318,166,,,,,,,,,
OR,Boudh,,,,,496,1585,,3,,,,,,3,,,4,,7009,16754,,,,,17-05-2020,,,439917,12634,112,12488,496,259325,92297,3,,,,,,,,,
OR,Cuttack,54,,29,,2729,1129,54,326,,,,,,326,277,1,304,,75381,45717,277,,,,17-05-2020,,,2618708,94631,857,93404,5720,1434524,702278,657,,,,,,,,,
OR,Deogarh,2,,3,,1,136,2,4,,,,,,4,41,,10,,1126,4779,41,,,,17-05-2020,,,312164,6553,50,6460,682,223405,63727,47,,,,,,,,,
OR,Gajapati,5,,,,296,1193,5,11,,,,,,11,15,,11,,4770,10942,15,,,,17-05-2020,,,575880,9657,84,9555,715,288963,115535,31,,,,,,,,,
OR,Jharsuguda,3,,,,,,3,11,,,,,,11,13,,10,,7187,14725,13,,,,17-05-2020,,,579499,23863,176,23673,1663,399523,189682,27,,,,,,,,,
OR,Kalahandi,2,,,,1476,537,2,5,,,,,,5,15,,1,,38214,26926,15,,,,17-05-2020,,,1573054,24314,210,24082,1458,921185,304778,22,,,,,,,,,
OR,Kandhamal,,,,,847,529,,2,,,,,,2,,,5,,12881,12319,,,,,17-05-2020,,,731952,11537,83,11453,1516,384009,150737,2,,,,,,,,,
OR,Koraput,1,,2,,935,2024,1,23,,,,,,23,11,,20,,13011,35701,11,,,,17-05-2020,,,1376934,19137,78,19044,1401,860773,399063,35,,,,,,,,,
OR,Malkangiri,,,3,,2497,2000,,2,,,,,,2,2,,4,,13449,16141,2,,,,17-05-2020,,,612727,11667,49,11613,1841,391790,137925,4,,,,,,,,,
OR,Mayurbhanj,19,1,8,,2985,654,19,129,,,,,,129,126,5,93,,86170,36315,126,,,,17-05-2020,,,2513895,40844,286,40416,3307,1222153,413698,274,,,,,,,,,
OR,Nayagarh,2,,3,,29,117,2,33,,,,,,33,28,1,24,,7145,22575,28,,,,17-05-2020,,,962215,23505,212,23261,1104,593612,222606,63,,,,,,,,,
OR,Nuapada,1,,3,,6,58,1,11,,,,,,11,36,,5,,3391,14721,36,,,,17-05-2020,,,606490,22924,84,22803,310,402248,129685,48,,,,,,,,,
OR,Rayagada,6,,3,,537,2019,6,14,,,,,,14,18,,16,,5781,16558,18,,,,17-05-2020,,,961959,20224,167,19981,578,549767,184420,38,,,,,,,,,
OR,Sambalpur,13,,24,,574,1479,13,62,,,,,,62,88,,113,,8960,31518,88,,,,17-05-2020,,,1044410,31651,240,31315,2007,768989,418110,163,,,,,,,,,
OR,Jajpur,9,,8,,2,9,9,76,,,,,,76,75,,73,,30726,37471,75,,,,23-08-2020,,,1826275,43735,172,43461,53956,1087735,383313,160,,,,,,,,,
OR,Jagatsinghpur,9,,12,,-2,2,9,72,,,,,,72,76,1,78,,28276,25051,76,,,,15-09-2020,,,1136604,27920,316,27510,46648,677675,272499,157,,,,,,,,,
OR,Balangir,,,,,,,,17,,,,,,17,4,,15,,20119,39059,4,,,,10/11/2020,,,1648574,23397,126,23257,87867,960786,299153,21,,,,,,,,,
OR,Kendrapara,8,,8,,1452,1179,8,88,,,,,,88,62,1,52,,28635,34297,62,,,,19-10-2020,,,1439891,24860,252,24545,382732,916169,347854,158,,,,,,,,,
OR,Puri,15,1,7,,2991,6548,15,91,,,,,,91,68,1,69,,25187,40854,68,,,,12/01/2020,,,1697983,45431,459,44903,173340,1078666,523160,174,,,,,,,,,
OR,Nabarangapur,,,,,,,,6,,,,,,6,1,,2,,13213,18025,1,,,,25-01-2021,,,1218762,23549,86,23461,162154,675601,188457,7,,,,,,,,,
OR,Angul,1,,3,,9,38,1,18,,,,,,18,16,2,20,,21629,23378,16,,,,27-01-2021,,,1271703,43920,393,43506,172873,786278,291800,35,,,,,,,,,
OR,Bhadrak,3,,7,,,17,3,32,,,,,,32,44,1,39,,14511,38206,44,,,,31-01-2021,,,1506522,26480,150,26260,258173,1026493,367945,79,,,,,,,,,
OR,Dhenkanal,5,,,,92,104,5,14,,,,,,14,25,,16,,18302,23327,25,,,,31-01-2021,,,1192948,19871,243,19598,179477,738406,282859,44,,,,,,,,,
OR,Ganjam,8,,2,,438,1848,8,25,,,,,,25,22,,18,,27002,112716,22,,,,31-01-2021,,,3520151,33849,485,33342,750442,2214981,1698328,55,,,,,,,,,
OR,Kendujhar,1,,2,,483,613,1,20,,,,,,20,4,2,3,,25529,46488,4,,,,02/01/2021,,,1802777,20980,175,20798,474504,1087285,376311,25,,,,,,,,,
OR,Bargarh,,,1,,169,30,,18,,,,,,18,18,,16,,52192,32028,18,,,,02/01/2021,,,1478833,31126,335,30762,,829092,283966,36,,,,,,,,,
OR,Khordha,250,2,243,,568,1482,250,1704,,,,,,1704,1492,8,1654,,34733,49859,1492,,,,02/01/2021,,,2246341,175335,1552,171938,,2063646,1502538,3446,,,,,,,,,
OR,State Pool,53,,57,,,,53,407,,,,,,407,338,,401,,,,338,,,,02/01/2021,,,,32048,,31587,,,,798,,,,,,,,,
OR,Subarnapur,,,,,,,,5,,,,,,5,5,,3,,8102,31803,5,,,,02/01/2021,,,652107,13187,61,13115,,418336,192102,10,,,,,,,,,
OR,Sundargarh,13,,8,,824,340,13,58,,,,,,58,59,,71,,19935,22587,59,,,,02/01/2021,,,2080664,61841,594,61167,,1122762,490428,130,,,,,,,,,
PB,Amritsar,4,,1,,232,251,4,8,,,,,,8,23,2,9,,23376,18084,23,,,,09/02/2020,,,2490891,47379,1598,45757,89227,1263073,446487,35,,,,,,,,,
